verb.hit.infc.u.u.u.a	verb, hitpa“el, infinitive (construct), unknown, unknown, unknown, absolute
verb.hit.infc.u.u.u.c	verb, hitpa“el, infinitive (construct), unknown, unknown, unknown, construct
verb.hit.perf.p1.u.pl	verb, hitpa“el, perfect, first person, unknown, plural
verb.hit.perf.p1.u.sg	verb, hitpa“el, perfect, first person, unknown, singular
verb.hit.perf.p2.f.sg	verb, hitpa“el, perfect, second person, feminine, singular
verb.hit.perf.p2.m.pl	verb, hitpa“el, perfect, second person, masculine, plural
verb.hit.perf.p2.m.sg	verb, hitpa“el, perfect, second person, masculine, singular
verb.hit.perf.p3.f.sg	verb, hitpa“el, perfect, third person, feminine, singular
verb.hit.perf.p3.m.sg	verb, hitpa“el, perfect, third person, masculine, singular
verb.hit.perf.p3.u.pl	verb, hitpa“el, perfect, third person, unknown, plural
verb.hit.ptca.u.f.pl.a	verb, hitpa“el, participle, unknown, feminine, plural, absolute
verb.hit.ptca.u.f.sg.a	verb, hitpa“el, participle, unknown, feminine, singular, absolute
verb.hit.ptca.u.f.sg.c	verb, hitpa“el, participle, unknown, feminine, singular, construct
verb.hit.ptca.u.m.pl.a	verb, hitpa“el, participle, unknown, masculine, plural, absolute
verb.hit.ptca.u.m.sg.a	verb, hitpa“el, participle, unknown, masculine, singular, absolute
verb.hit.ptca.u.m.sg.c	verb, hitpa“el, participle, unknown, masculine, singular, construct
verb.hit.wayq.p1.u.pl	verb, hitpa“el, wayyiqtol, first person, unknown, plural
verb.hit.wayq.p1.u.sg	verb, hitpa“el, wayyiqtol, first person, unknown, singular
verb.hit.wayq.p2.m.sg	verb, hitpa“el, wayyiqtol, second person, masculine, singular
verb.hit.wayq.p3.f.pl	verb, hitpa“el, wayyiqtol, third person, feminine, plural
verb.hit.wayq.p3.f.sg	verb, hitpa“el, wayyiqtol, third person, feminine, singular
verb.hit.wayq.p3.m.pl	verb, hitpa“el, wayyiqtol, third person, masculine, plural
verb.hit.wayq.p3.m.sg	verb, hitpa“el, wayyiqtol, third person, masculine, singular
verb.hof.impf.p1.u.pl	verb, hof‘al, imperfect, first person, unknown, plural
verb.hof.impf.p1.u.sg	verb, hof‘al, imperfect, first person, unknown, singular
verb.hof.impf.p2.m.pl	verb, hof‘al, imperfect, second person, masculine, plural
verb.hof.impf.p2.m.sg	verb, hof‘al, imperfect, second person, masculine, singular
verb.hof.impf.p3.f.pl	verb, hof‘al, imperfect, third person, feminine, plural
verb.hof.impf.p3.f.sg	verb, hof‘al, imperfect, third person, feminine, singular
verb.hof.impf.p3.m.pl	verb, hof‘al, imperfect, third person, masculine, plural
verb.hof.impf.p3.m.sg	verb, hof‘al, imperfect, third person, masculine, singular
verb.hof.impv.p2.m.pl	verb, hof‘al, imperative, second person, masculine, plural
verb.hof.impv.p2.m.sg	verb, hof‘al, imperative, second person, masculine, singular
